project;merge commit;class;method;Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right;LOI;Original Sample;result
storm;bd1f5c54752f67b484a83c26667331234234d3a3;KafkaSpout;emitTupleIfNotEmitted;boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord); INSTANCE_BASED; No; Yes;328;832;48171;557713;148164;89128; Yes; Yes; No;16;16;4; [boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 306) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 316), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 306) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 319), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 307) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 316), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 307) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 319)]; [305, 306, 307, 312]; [316, 319];No;Leuson;FALSE POSITIVE
storm;ad2be678831b3b060229fd936e3908110162b7ac;KafkaSpoutConfig;toString;String org.apache.storm.kafka.spout.KafkaSpoutConfig.toString(); INSTANCE_BASED; No; Yes;1777;6132;1673079;134004941;6978472;300867; No; -; -; -; -; -; -; []; [515, 516, 521, 522];Yes;Leuson;FALSE NEGATIVE
storm;ad2be678831b3b060229fd936e3908110162b7ac;KafkaSpoutConfig;KafkaSpoutConfig;void org.apache.storm.kafka.spout.KafkaSpoutConfig.KafkaSpoutConfig(org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder); INSTANCE_BASED; No; Yes;1777;6132;1673079;134004941;6978472;300867; No; -; -; -; -; -; -; []; [435, 436, 437, 438, 439, 440, 441, 430, 431];No;Mining;TRUE NEGATIVE
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;SimpleIndexQueryParserTests;setup;void org.elasticsearch.index.query.SimpleIndexQueryParserTests.setup(); INSTANCE_BASED; No; Yes;3080;12820;2306878;187392443;12073726;300797; No; -; -; -; -; -; -; [217]; [208];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestShardsAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5235;292151;13611574;498253;131200; No; -; -; -; -; -; -; []; [112, 113];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestIndicesAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestIndicesAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5301;299873;14759578;521638;131072; No; -; -; -; -; -; -; []; [144, 147, 150, 153, 138, 141];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestNodesAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestNodesAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5258;294842;13935483;496992;131072; No; -; -; -; -; -; -; []; [153, 154, 156, 157, 158, 159];No;DeSouza;TRUE NEGATIVE
elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;ESSingleNodeTestCase;newNode;org.elasticsearch.node.Node org.elasticsearch.test.ESSingleNodeTestCase.newNode(); INSTANCE_BASED; No; Yes;3291;18871;2240203;172292727;14050346;244683; No; -; -; -; -; -; -; [171]; [173, 174];No;DeSouza;TRUE NEGATIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;KuromojiAnalysisTests;createAnalysisService;org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService(); INSTANCE_BASED; No; Yes;6031;32078;3599005;317705184;33414087;407627; Yes; Yes; No;19433;26;4; [org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 196) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 197) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 198) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 206) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207)]; [196, 197, 198, 199, 200, 201, 202, 206]; [204, 207];No;Mining;FALSE POSITIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis;void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis(); INSTANCE_BASED; No; Yes;5819;29146;3630369;397021717;65034632;241659; Yes; No; Yes;58;24;1; [void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis() (line 228) -> void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis() (line 229)]; [229]; [226, 228];No;Mining;FALSE POSITIVE
